Category,Level,Question,Answer,Explanation
페이트 시리즈,normal,세이버의 진명은 알토리아 펜드래건이다.,O,세이버는 전설적인 아서 왕인 알토리아 펜드래건을 정체로 합니다.
페이트 시리즈,normal,에미야 시로의 주력 마술은 투영 마술이다.,O,에미야 시로는 무기를 복제하는 투영 마술을 주로 사용합니다.
페이트 시리즈,normal,성배전쟁은 총 7명의 마스터와 7명의 서번트가 참여하는 것이 원칙이다.,O,통상적인 성배전쟁은 7팀이 참여하여 최후의 승자를 가립니다.
페이트 시리즈,normal,토오사카 린은 5차 성배전쟁에서 라이더의 마스터이다.,X,"토오사카 린은 아처의 마스터이며, 라이더의 마스터는 마토 사쿠라(또는 신지)입니다."
페이트 시리즈,normal,길가메쉬는 아처 클래스로 소환된 영령이다.,O,4차와 5차 성배전쟁 모두 길가메쉬는 아처로 소환되었습니다.
페이트 시리즈,normal,토오사카 린이 사용하는 보석 마술은 마력을 보석에 저장해 사용하는 방식이다.,O,보석 마술은 일회성이지만 강력한 마력을 담은 보석을 소모하여 발동합니다.
페이트 시리즈,normal,란슬롯은 Fate/Zero에서 버서커 클래스로 등장한다.,O,Fate/Zero의 버서커는 광기에 빠진 호수의 기사 란슬롯입니다.
페이트 시리즈,normal,이스칸다르는 정복왕 알렉산더 대왕의 영령이다.,O,라이더로 소환된 이스칸다르는 역사 속 알렉산더 대왕입니다.
페이트 시리즈,normal,후유키 시의 성배전쟁은 100년에 한 번씩 열리는 것이 규칙이다.,X,대성배의 마력 충전 주기에 따라 약 60년 주기로 열립니다.
페이트 시리즈,normal,에미야 키리츠구는 '마술사 킬러'라는 별명을 가지고 있다.,O,키리츠구는 효율적인 마술사 제거를 위해 현대 병기를 사용하는 암살자였습니다.
페이트 시리즈,normal,Unlimited Blade Works는 에미야 시로의 고유결계 이름이다.,O,무한의 검제(Unlimited Blade Works)는 시로와 아처의 심상풍경이 구현된 마술입니다.
페이트 시리즈,hard,마토 사쿠라는 사실 토오사카 가문에서 마토 가문으로 입양된 하녀이다.,X,사쿠라는 토오사카 린의 친동생이며 마력 계승을 위해 마토 가의 양녀로 보내졌습니다.
페이트 시리즈,normal,Heaven's Feel 루트의 진정한 흑막은 마토 조켄이다.,O,마토 조켄은 영생을 위해 성배전쟁의 모든 비극을 뒤에서 조종한 인물입니다.
페이트 시리즈,hard,5차 성배전쟁의 어새신인 사사키 코지로의 진명은 진짜 사사키 코지로이다.,X,그는 가공의 인물인 사사키 코지로의 전설에 부합하는 익명의 검사일 뿐입니다.
페이트 시리즈,normal,라이더(메두사)는 자신의 눈을 가리고 있을 때만 마안을 사용할 수 있다.,X,눈을 가리는 것은 마안의 힘을 억제하기 위함이며 가리개를 벗으면 석화의 마안이 발동합니다.
페이트 시리즈,hard,아처(5차)의 정체는 미래에서 수호자가 된 에미야 시로이다.,O,아처는 자신의 이상을 위해 영령이 된 미래의 시로 본인입니다.
페이트 시리즈,normal,세이버 얼터는 성배의 진흙에 오염된 세이버의 모습이다.,O,Heaven's Feel 루트에서 흑화한 세이버는 압도적인 파괴력을 가진 폭군으로 변합니다.
페이트 시리즈,hard,이리야스필 폰 아인츠베른은 호문쿨루스이면서 인간의 자궁에서 태어난 존재이다.,O,이리야는 아인츠베른의 기술로 만들어진 호문쿨루스지만 아이리스필의 태내에서 잉태되었습니다.
페이트 시리즈,normal,타이가는 에미야 가의 식객이자 시로가 다니는 학교의 영어 선생님이다.,O,후지무라 타이가는 평소 덜렁대지만 검도 유단자이며 시로의 보호자 역할을 합니다.
페이트 시리즈,hard,고유결계는 마술사의 심상을 현실에 덮어씌우는 마술의 극치이다.,O,고유결계(Reality Marble)는 세계의 법칙을 자신의 내면 세계로 일시적으로 교체하는 금언에 가까운 마술입니다.
페이트 시리즈,normal,Fate/Zero는 4차 성배전쟁를 다룬 프리퀄 작품이다.,O,Fate/stay night의 10년 전 이야기를 다루는 전사(前史)입니다.
페이트 시리즈,normal,세이버의 마스터였던 에미야 키리츠구는 마술 회로를 파괴하는 기원을 가졌다.,O,절단과 결합의 속성을 가진 그의 탄환은 마술사의 마술 회로를 망가뜨립니다.
페이트 시리즈,hard,4차 성배전쟁의 캐스터인 질 드 레는 잔 다르크를 찾기 위해 소환되었다.,O,그는 광기에 빠진 채 세이버(알토리아)를 자신이 숭배하던 잔 다르크로 착각합니다.
페이트 시리즈,normal,코토미네 키레이는 4차 성배전쟁 시작 당시 이미 세례영창을 익힌 대행자였다.,O,성당교회 소속의 대행자로서 뛰어난 전투 능력과 신앙심을 가진 인물이었습니다.
페이트 시리즈,hard,웨이버 벨벳은 4차 성배전쟁 이후 런던 시계탑의 로드 엘멜로이 2세가 된다.,O,라이더와의 인연을 통해 성장한 그는 몰락하던 엘멜로이 교실을 부흥시킵니다.
페이트 시리즈,normal,케이네스 엘멜로이 아치볼트는 월령수액(볼륨 하이드라르기룸)이라는 마술 예장을 사용한다.,O,수은을 자유자재로 다루어 방어와 공격을 동시에 수행하는 강력한 예장입니다.
페이트 시리즈,hard,4차 성배전쟁은 성배가 오염되어 파괴되는 것으로 결말을 맺는다.,O,키리츠구의 명령에 의해 성배가 파괴되면서 후유키 시에 대화재가 발생합니다.
